3599,1792,1.74
3488,192,1.74
1488,160,1.69
1488,161,1.66
3489,192,1.66
3598,1792,1.64
 95,152,1.63
1488,162,1.63
1551,448,1.62
3327,2064,1.60
 95,153,1.60
816,2088,1.60
3359,544,1.60
3359,551,1.60
1488,163,1.59
1488,167,1.59
351,488,1.58
3663,648,1.58
991,2032,1.58
1488,166,1.58
1488,164,1.58
3490,192,1.58
1311,784,1.57
1550,448,1.57
1488,165,1.56
3663,649,1.55
1489,163,1.55
3536,232,1.55
3664,584,1.55
752,1759,1.55
3712,128,1.55
336,375,1.55
1489,164,1.55
1310,784,1.55
3713,128,1.54
3358,544,1.54
3358,551,1.54
1548,448,1.54
3356,551,1.54
3296,2071,1.54
399,352,1.54
3597,1792,1.53
1308,784,1.53
991,2033,1.53
2639,1992,1.53
1549,448,1.53
3423, 55,1.53
816,2089,1.52
384,215,1.52
3183,1800,1.52
1309,784,1.52
3356,544,1.52
3728,1519,1.52
255,2112,1.52
3648,1775,1.52
 94,152,1.52
2399, 48,1.51
3327,1168,1.51
3587,168,1.51
3297,2071,1.51
3600,912,1.51
3584,792,1.51
3359,550,1.51
3359,545,1.51
