,Left Channel,,,,,,Right Channel,,,,,
,NI,FS(rms),FS(peak),dBFS(rms),dBFS(peak),%,NI,FS(rms),FS(peak),dBFS(rms),dBFS(peak),%
AC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
DC,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,
THD,0.00,,,,,0.00,0.00,,,,,0.00,
THDN,0.00,,,,,0.00,0.00,,,,,0.00,
SNR,,,,0.00,,0.00,,,,0.00,,0.00,
noise,,,,0.00,,0.00,,,,0.00,,0.00,
H[0],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
H[1],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
H[2],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
H[3],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
H[4],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
H[5],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
peak,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
